station;coords;wiki_link
Dębnica Kaszubska;54.3678275,17.1630208;https://pl.wikipedia.org/wiki/Dębnica_Kaszubska_(stacja_kolejowa)
Dębnica Wielkopolska;52.585281, 17.487222;https://pl.wikipedia.org/wiki/D%C4%99bnica_Wielkopolska
Dębno Lubuskie;52.737778, 14.709444;https://pl.wikipedia.org/wiki/Dębno_Lubuskie
Dęby;53.371944, 21.512778;https://pl.wikipedia.org/wiki/Dęby_(stacja_kolejowa)
Długa;52.528972, 25.733889;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30617
Dłutowo;53.466944, 21.878056;https://pl.wikipedia.org/wiki/Dłutowo_(stacja_kolejowa)
Dźwierzuty;53.7045998,20.9609170;https://pl.wikipedia.org/wiki/Dźwierzuty
Elbląg;54.1988997,19.4410857;https://pl.wikipedia.org/wiki/Elbląg
Eydtkuhnen;54.6393711,22.7350233;https://ru.wikipedia.org/wiki/Чернышевское
Ełk;53.8248304,22.3615813;https://pl.wikipedia.org/wiki/Ełk
Fischhausen;54.733333, 20;https://pl.wikipedia.org/wiki/Primorsk
Fordon;53.146944, 18.158889;https://pl.wikipedia.org/wiki/Bydgoszcz_Fordon
Forst;51.7438586,14.6455395;https://de.wikipedia.org/wiki/Forst_(Lausitz)
Fosowskie;50.6604518,18.3601524;https://pl.wikipedia.org/wiki/Fosowskie_(stacja_kolejowa)
Frankfurt (Oder);52.3412273,14.5494520;https://de.wikipedia.org/wiki/Frankfurt_(Oder)
Friedland;54.450000, 21.016667;https://pl.wikipedia.org/wiki/Prawdinsk
Frombork;54.3576262,19.6761300;https://pl.wikipedia.org/wiki/Frombork_(przystanek_kolejowy)
Frydek Mistek;49.6856350,18.3483416;https://cs.wikipedia.org/wiki/Frýdek-Místek
Frydlant;50.9216775,15.0794594;https://cs.wikipedia.org/wiki/Frýdlant
Frydlant nad Ostravici;49.5930718,18.3596301;https://cs.wikipedia.org/wiki/Frýdlant_nad_Ostravicí
Frysztat;49.860311, 18.546772;https://pl.wikipedia.org/wiki/Karvin%C3%A1_m%C4%9Bsto
Frýdlant v Čechach;50.9190225,15.0728303;https://cs.wikipedia.org/wiki/Frýdlant_v_Čechách_(nádraží)
Garbas; 54.191167, 22.526194;https://www.atlaskolejowy.net/pl/podlaskie/?id=baza&poz=7965
Garczegorze;54.5943524,17.7240010;https://pl.wikipedia.org/wiki/Garczegorze
Gardeja;53.6110100,18.9473400;https://pl.wikipedia.org/wiki/Gardeja
Gartz (Oder);53.2085770,14.3914352;https://de.wikipedia.org/wiki/Gartz_(Oder)
Garwolin;51.901389, 21.553333;https://pl.wikipedia.org/wiki/Garwolin_(stacja_kolejowa)
Gdańsk;54.3482907,18.6540233;https://pl.wikipedia.org/wiki/Gdańsk
Gdańsk Brama Wyżynna;54.357222, 18.644444;https://pl.wikipedia.org/wiki/Dworzec_Brama_Wyżynna
Gdańsk Nowy Port;54.4040068,18.6659341;https://pl.wikipedia.org/wiki/Gdańsk_Nowy_Port
Gdańsk Wrzeszcz;54.3817696,18.6055111;https://pl.wikipedia.org/wiki/Gdańsk_Wrzeszcz
Gdańsk Wąskotorowy;54.346667, 18.672500;https://pl.wikipedia.org/wiki/Gdańsk_Wąskotorowy
Gdynia Główna;54.521111, 18.529444;https://pl.wikipedia.org/wiki/Gdynia_Główna
Gdynia Chylonia;54.5457503,18.4636617;https://pl.wikipedia.org/wiki/Gdynia_Chylonia
Gdynia Port Oksywie;54.5423873,18.5404791;https://pl.wikipedia.org/wiki/Gdynia_Port_Oksywie
Gdynia Wielki Kack;54.4636393,18.5002815;https://pl.wikipedia.org/wiki/Gdynia_Wielki_Kack
Gerdauen;54.356944, 21.325278;https://pl.wikipedia.org/wiki/Żeleznodorożnyj_(stacja_kolejowa)
Giemlice;54.2059400,18.8436600;https://pl.wikipedia.org/wiki/Giemlice
Gierałtowice;50.2733791,18.0902059;https://pl.wikipedia.org/wiki/Gierałtowice_(województwo_opolskie)
Giżycko;54.0361354,21.7661326;https://pl.wikipedia.org/wiki/Giżycko
Gliwice;50.301389, 18.677222;https://pl.wikipedia.org/wiki/Gliwice_(stacja_kolejowa)
Gliwice Trynek;50.282778, 18.678611;https://pl.wikipedia.org/wiki/Gliwice_Trynek
Gliwice Łabędy;50.340278, 18.621667;https://pl.wikipedia.org/wiki/Gliwice_Łabędy
Gniew;53.8342221,18.8251596;https://pl.wikipedia.org/wiki/Gniew_(miasto)
Gniezno;52.5246502,17.5981524;https://pl.wikipedia.org/wiki/Gniezno
Gniezno Winiary;52.5595611,17.6116300;https://pl.wikipedia.org/wiki/Gniezno_Winiary
Gniezno Wąskotorowe;52.528306, 17.596583;https://www.atlaskolejowy.net/pl/wielkopolskie/?id=baza&poz=8167
Godków;52.9101600,14.4307700;https://pl.wikipedia.org/wiki/Godków_(województwo_zachodniopomorskie)
Gogolin;50.493056, 18.018889;https://pl.wikipedia.org/wiki/Gogolin_(stacja_kolejowa)
Golczewo;53.828889, 14.980833;https://pl.wikipedia.org/wiki/Golczewo_Pomorskie
Golczewo Wąskotorowe;53.828333, 14.981389;https://pl.wikipedia.org/wiki/Golczewo_Wąskotorowe
Goleniów;53.5656939,14.8299285;https://pl.wikipedia.org/wiki/Goleniów
Goleszów;49.7336888,18.7402381;https://pl.wikipedia.org/wiki/Goleszów
Golub Dobrzyń;53.1138924,19.0544501;https://pl.wikipedia.org/wiki/Golub-Dobrzyń
Gorlice;49.6663323,21.1634843;https://pl.wikipedia.org/wiki/Gorlice
Gorlice Zagórzany;49.694167, 21.195556;https://pl.wikipedia.org/wiki/Gorlice_Zagórzany
Gorzów Wielkopolski;52.727778, 15.229722;https://pl.wikipedia.org/wiki/Gorzów_Wielkopolski_(stacja_kolejowa)
Gorzów Wielkopolski Zamoście;52.722500, 15.238889;https://pl.wikipedia.org/wiki/Gorzów_Wielkopolski_Zamoście
Gorzów Wielkopolski Zieleniec;52.6994982,15.2620290;
Gostkowo;51.698278, 16.971444;https://www.atlaskolejowy.net/pl/wielkopolskie/?id=baza&poz=1245
Gostynin;52.4242453,19.4633384;https://pl.wikipedia.org/wiki/Gostynin
Gostyń;51.8778633,17.0167637;https://pl.wikipedia.org/wiki/Gostyń
Gosławice;52.288889, 18.265000;https://pl.wikipedia.org/wiki/Gosławice_(przystanek_kolejowy)
Gozdnica;51.442333, 15.095333;https://pl.wikipedia.org/wiki/Gozdnica_(stacja_kolejowa)
Gozdów;50.773056, 23.812222;https://pl.wikipedia.org/wiki/Gozdów_(stacja_kolejowa)
Gołańcz;52.9431644,17.2999756;https://pl.wikipedia.org/wiki/Gołańcz
Gołdap;54.3077084,22.3018576;https://pl.wikipedia.org/wiki/Gołdap
Gołków;52.0431597,20.9739604;https://pl.wikipedia.org/wiki/Gołków
Gołogóra;54.0025, 16.738889;https://pl.wikipedia.org/wiki/Gołogóra_(stacja_kolejowa)
Gołonóg;50.3438817,19.2259879;https://pl.wikipedia.org/wiki/Dąbrowa_Górnicza_Gołonóg
Gołubie Kaszubskie;54.2125151,18.0367969;https://pl.wikipedia.org/wiki/Gołubie_Kaszubskie
Gołymin-Ośrodek;52.808333, 20.870556;https://pl.wikipedia.org/wiki/Gołymin-Ośrodek
Gołębice;51.1818928,17.6825520;https://pl.wikipedia.org/wiki/Gołębice
Gościno;54.055000, 15.643333;https://pl.wikipedia.org/wiki/Gościno_(stacja_kolejowa)
Goświnowice;50.4877778,17.2522222;https://pl.wikipedia.org/wiki/Goświnowice
Grabowno Wielkie;51.3492000,17.4168300;https://pl.wikipedia.org/wiki/Grabowno_Wielkie_(wieś_w_województwie_dolnośląskim)
Grabowo;53.071389, 21.537222;https://pl.wikipedia.org/wiki/Grabowo_(stacja_kolejowa_w_powiecie_ostrołęckim)
Grabowo Wąskotorowe;53.072778, 21.534722;https://pl.wikipedia.org/wiki/Grabowo_Wąskotorowe
Grabów nad Prosną;51.5060515,18.1188808;https://pl.wikipedia.org/wiki/Grabów_nad_Prosną
Gracze;50.688333, 17.558611;https://pl.wikipedia.org/wiki/Gracze_(stacja_kolejowa)
Grajewo;53.6399088,22.4578391;https://pl.wikipedia.org/wiki/Grajewo
Grambow;53.417222, 14.346389;https://pl.wikipedia.org/wiki/Grambow_(przystanek_kolejowy)
Grodków Śląski;50.6977778,17.3762770;https://pl.wikipedia.org/wiki/Grodków_Śląski
Grodno;53.6834599,23.8342648;https://ru.wikipedia.org/wiki/Гродно
Grodziec Mały;51.6878178,16.0759347;https://pl.wikipedia.org/wiki/Grodziec_Mały
Grodzisk Mazowiecki;52.109722, 20.621667;https://pl.wikipedia.org/wiki/Grodzisk_Mazowiecki_(stacja_kolejowa)
Grodzisk Wielkopolski;52.230000, 16.364444;https://pl.wikipedia.org/wiki/Grodzisk_Wielkopolski_(stacja_kolejowa)
Grudusk;53.062500, 20.628056;https://pl.wikipedia.org/wiki/Grudusk_(przystanek_kolejowy)
Grudziądz;53.482222, 18.761111;https://pl.wikipedia.org/wiki/Grudziądz_(stacja_kolejowa)
Gryfice;53.909722, 15.189444;https://pl.wikipedia.org/wiki/Gryfice_(stacja_kolejowa)
Gryfice Wąskotorowe;53.913056, 15.191389;https://pl.wikipedia.org/wiki/Gryfice_Wąskotorowe
Gryfino;53.253056, 14.487500;https://pl.wikipedia.org/wiki/Gryfino_(stacja_kolejowa)
Gryfów Śląski;51.0281455,15.4145051;https://pl.wikipedia.org/wiki/Gryfów_Śląski
Grzmiąca;53.8345203,16.4323611;https://pl.wikipedia.org/wiki/Grzmiąca_(województwo_zachodniopomorskie)
Grzymałów;49.3523445045513, 26.00365148465489;https://www.atlaskolejowy.net/ua/tarnopolski/?id=baza&poz=28977
Gródek Jagielloński;49.7845960,23.6465626;https://uk.wikipedia.org/wiki/Городок_(Львівська_область)
Grójec;51.8655126,20.8675017;https://pl.wikipedia.org/wiki/Grójec
Grębów;50.603611, 21.835833;https://pl.wikipedia.org/wiki/Grębów_(stacja_kolejowa)
Guben;51.958611, 14.706667;https://pl.wikipedia.org/wiki/Guben_(stacja_kolejowa)
Gubin;51.978611, 14.723611;https://pl.wikipedia.org/wiki/Gubin_(stacja_kolejowa)
Gubinek;51.933333, 14.725278;https://pl.wikipedia.org/wiki/Gubinek_(przystanek_kolejowy)
Gumbinnen;54.5921685,22.2014752;https://ru.wikipedia.org/wiki/Гусев_(город)
Gurcz;53.816722, 18.901583;https://www.atlaskolejowy.net/pl/pomorskie/?id=baza&poz=8004
Gusiew;54.584722, 22.198611;https://pl.wikipedia.org/wiki/Gusiew_(stacja_kolejowa)
Gądecz;53.221778, 18.170944;https://www.atlaskolejowy.net/pl/kujawsko-pomorskie/?id=baza&poz=8845
Góra Kalwaria;51.989167, 21.193056;https://pl.wikipedia.org/wiki/Góra_Kalwaria_(stacja_kolejowa)
Góra Śląska;51.6681499,16.5393277;https://pl.wikipedia.org/wiki/Góra_(miasto)
Górki;54.063639, 18.776139;https://www.atlaskolejowy.net/pl/pomorskie/?id=baza&poz=6916
Górowo Iławeckie;54.281667, 20.484167;https://pl.wikipedia.org/wiki/Górowo_Iławeckie_(stacja_kolejowa)
Görlitz;51.1563185,14.9910180;https://de.wikipedia.org/wiki/Görlitz
Gębice;52.6004336,18.0355571;https://pl.wikipedia.org/wiki/Gębice_(województwo_kujawsko-pomorskie)
Gęsia Górka;51.2274905,17.4289241;https://pl.wikipedia.org/wiki/Gęsia_Górka_(Sokołowice)
Głazów;52.9672432,14.9291005;https://pl.wikipedia.org/wiki/Głazów_(województwo_zachodniopomorskie)
Głogów;51.6636791,16.0935567;https://pl.wikipedia.org/wiki/Głogów
Głubczyce;50.195556, 17.821667;https://pl.wikipedia.org/wiki/Głubczyce_(stacja_kolejowa)
Głuchołazy;50.326389, 17.393333;https://pl.wikipedia.org/wiki/Głuchołazy_(stacja_kolejowa)
Głuchołazy Zdrój;50.309444, 17.384444;https://pl.wikipedia.org/wiki/Głuchołazy_Zdrój
Głębock;54.366111, 20.265278;https://pl.wikipedia.org/wiki/Głębock_(przystanek_kolejowy)
Głęboka Śląska;50.779192, 17.138058;https://pl.wikipedia.org/wiki/Głęboka_Śląska
Głębokie;55.133056, 27.671111;https://pl.wikipedia.org/wiki/Głębokie_(stacja_kolejowa)
Hagenwerder;51.0681440,14.9615029;https://de.wikipedia.org/wiki/Hagenwerder
Hajnówka;52.7317575,23.5712488;https://pl.wikipedia.org/wiki/Hajnówka
Halicz;49.137111, 24.732667;https://pl.wikipedia.org/wiki/Halicz_(stacja_kolejowa)
Halle;51.4824354,11.9712985;https://de.wikipedia.org/wiki/Halle_(Saale)
Hancewicze;52.758583, 26.434889;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30203
Hanušovice;50.0784174,16.9347166;https://cs.wikipedia.org/wiki/Hanušovice
Heiligenbeil;54.4636264,19.9414303;https://ru.wikipedia.org/wiki/Мамоново
Heinrichswalde;;https://pl.wikipedia.org/wiki/Sławsk-Nowyj
Hel;54.610833, 18.801111;https://pl.wikipedia.org/wiki/Hel_(stacja_kolejowa)
Henryków;50.663342, 17.029736;https://pl.wikipedia.org/wiki/Henryków_(stacja_kolejowa)
Herby Nowe;50.748056, 18.854444;https://pl.wikipedia.org/wiki/Herby_Nowe
Herby Stare;50.752500, 18.890833;https://pl.wikipedia.org/wiki/Herby_Stare_(zlikwidowana_stacja_kolejowa)
Heringsdorf;53.9491799,14.1708237;https://de.wikipedia.org/wiki/Bahnhof_Seebad_Heringsdorf
Heydekrug;55.3413747,21.4605697;https://lt.wikipedia.org/wiki/Šilutė
Heřmanice;50.892444, 14.995806;https://www.atlasdrah.net/cz/liberecky/?id=baza&poz=11709
Homel;52.4238936,31.0131698;https://be.wikipedia.org/wiki/Гомель
Horka;51.303889, 14.902222;https://pl.wikipedia.org/wiki/Horka_(stacja_kolejowa)
Horni Benešov;;https://pl.wikipedia.org/wiki/Horní_Benešov_(stacja_kolejowa)
Horno;51.8352100,14.5683198;https://de.wikipedia.org/wiki/Horno_(Jänschwalde)
Horodeczno;53.623750, 25.892694;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30551
Horyń;51.852028, 26.783833;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30185
Hradec Kralove;50.2092113,15.8327512;https://cs.wikipedia.org/wiki/Hradec_Králové
Hradec nad Moravici;49.8709009,17.8754742;https://cs.wikipedia.org/wiki/Hradec_nad_Moravicí
Hrebenne;50.298333, 23.576667;https://pl.wikipedia.org/wiki/Hrebenne_(stacja_kolejowa)
Hrubieszów;50.796944, 23.908611;https://pl.wikipedia.org/wiki/Hrubieszów_Miasto
Hrubieszów Wąskotorowy;50.813056, 23.881111;https://pl.wikipedia.org/wiki/Hrubieszów_Wąskotorowy
Hrywiatki;51.254389, 25.019222;https://www.atlaskolejowy.net/ua/wolynski/?id=baza&poz=29750
Humenne;48.9350033,21.9020268;https://sk.wikipedia.org/wiki/Humenné
Husiatyn;49.0707755,26.1996027;https://uk.wikipedia.org/wiki/Гусятин
Ignalin;55.338333, 26.163611;https://pl.wikipedia.org/wiki/Ignalino_(stacja_kolejowa)
Inowrocław;52.7814643,18.2463086;https://pl.wikipedia.org/wiki/Inowrocław
Inowrocław Mątwy;52.7538235,18.2529116;https://pl.wikipedia.org/wiki/Inowrocław_Mątwy
Insterburg;54.6355330,21.8099822;https://ru.wikipedia.org/wiki/Черняховск
Iwacewicze;52.709111, 25.344972;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=29858
Iwacewicze Wąskie Osobowe;52.708361, 25.344472;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30607
Iwanie Puste;48.64594493827103, 26.170467813491165;https://www.atlaskolejowy.net/ua/tarnopolski/?id=baza&poz=28887
Iwaniska;50.732222, 21.287778;https://pl.wikipedia.org/wiki/Iwaniska_(stacja_kolejowa)
Iława;53.5961089,19.5761026;https://pl.wikipedia.org/wiki/Iława
Ińsko;53.434444, 15.552222;https://pl.wikipedia.org/wiki/Ińsko_(stacja_kolejowa)
Jablonec nad Jizerou;50.7003941,15.4351863;
Jablonec nad Nisou;50.7240899,15.1710958;https://cs.wikipedia.org/wiki/Jablonec_nad_Nisou
Jabłonka; 53.673056, 21.030278;https://pl.wikipedia.org/wiki/Jabłonka_(przystanek_kolejowy)
Jabłonka Słupecka;52.361389, 18.121111;https://pl.wikipedia.org/wiki/Jabłonka_Słupecka
Jabłonna;52.381139, 20.920139;https://www.atlaskolejowy.net/pl/mazowieckie/?id=baza&poz=8587
Jabłonowo Pomorskie;53.3879840,19.1527034;https://pl.wikipedia.org/wiki/Jabłonowo_Pomorskie
Jabłonowo Wielkopolskie;52.999722, 16.691667;https://pl.wikipedia.org/wiki/Jabłonowo_Wielkopolskie
Jacinki;54.1315160,16.6234047;https://pl.wikipedia.org/wiki/Jacinki
Jakuszyce;50.8167267,15.4315515;https://pl.wikipedia.org/wiki/Jakuszyce
Jamrzyno;54.3530718,17.2885911;https://pl.wikipedia.org/wiki/Jamrzyno
Jankowa Żagańska;51.5713004,15.1775641;https://pl.wikipedia.org/wiki/Jankowa_Żagańska
Jankowo Pomorskie; 53.516389, 15.773889;https://pl.wikipedia.org/wiki/Jankowo_Pomorskie
Jankowo Pomorskie Wąskotorowe;53.517778, 15.776389;https://pl.wikipedia.org/wiki/Jankowo_Pomorskie_Wąskotorowe
Janowiec Wielkopolski;52.7567264,17.4887698;https://pl.wikipedia.org/wiki/Janowiec_Wielkopolski
Jantar;54.3352789,19.0322591;https://pl.wikipedia.org/wiki/Jantar_(województwo_pomorskie)
Janów;49.920833, 23.730556;https://pl.wikipedia.org/wiki/Iwano-Frankowe
Janów Podlaski;52.188056, 23.199722;https://pl.wikipedia.org/wiki/Janów_Podlaski_(stacja_kolejowa)
Janów Poleski;52.12925, 25.551083;https://pl.wikipedia.org/wiki/Jan%C3%B3w_Poleski_(stacja_kolejowa)
Janów Poleski Wąski;52.128806, 25.551083;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30632
Jarocin;51.969167, 17.494722;https://pl.wikipedia.org/wiki/Jarocin_(stacja_kolejowa)
Jaromeř;50.3555139,15.9189129;https://cs.wikipedia.org/wiki/Jaroměř
Jarosław;50.0159029,22.6796573;https://pl.wikipedia.org/wiki/Jarosław_(województwo_podkarpackie)
Jaryszewo Obornickie;52.701944, 16.596111;https://pl.wikipedia.org/wiki/Jaryszewo_Obornickie
Jasienica;53.587778, 14.543056;https://pl.wikipedia.org/wiki/Jasienica_(przystanek_kolejowy)
Jasieniec;51.6570593,21.2749579;https://pl.wikipedia.org/wiki/Jasieniec_(powiat_kozienicki)
Jasienów Polny;48.623333, 25.545556;https://pl.wikipedia.org/wiki/Jasieniów_Polny_(przystanek_kolejowy)
Jasień;51.7515442,15.0123351;https://pl.wikipedia.org/wiki/Jasień_(miasto)
Jastrowie;53.408056, 16.798056;https://pl.wikipedia.org/wiki/Jastrowie_(stacja_kolejowa)
Jastrzębie Zdrój;49.953889, 18.577778;https://pl.wikipedia.org/wiki/Jastrzębie_Zdrój_(stacja_kolejowa)
Jastrzębie Zdrój Moszczenica;49.9369655,18.5370943;https://pl.wikipedia.org/wiki/Moszczenica_(Jastrzębie-Zdrój)
Jasło;49.7469627,21.4935760;https://pl.wikipedia.org/wiki/Jasło
Javornik ve Slezsku;50.3948272,17.0157077;
Jawor;51.0677021,16.1976136;https://pl.wikipedia.org/wiki/Jawor_(miasto)
Jaworzno Miasto;50.207778, 19.261667;https://pl.wikipedia.org/wiki/Jaworzno_(stacja_kolejowa)
Jaworzyna Śląska;50.9144217,16.4308642;https://pl.wikipedia.org/wiki/Jaworzyna_Śląska
Jaworów;49.962222, 23.405000;https://pl.wikipedia.org/wiki/Jaworów_(stacja_kolejowa)
Jedlina Zdrój;50.7238213,16.3457478;https://pl.wikipedia.org/wiki/Jedlina-Zdrój
Jelcz Miłoszyce;51.0445694,17.3054006;https://pl.wikipedia.org/wiki/Jelcz_Miłoszyce
Jelenia Góra;50.9031028,15.7344306;https://pl.wikipedia.org/wiki/Jelenia_Góra
Jelgava;56.6514394,23.7339143;https://lv.wikipedia.org/wiki/Jelgava
Jerzmanice Zdrój;51.112778, 15.890000;https://pl.wikipedia.org/wiki/Jerzmanice-Zdrój_(stacja_kolejowa)
Jerzmanowo;52.4978576,18.9192524;https://pl.wikipedia.org/wiki/Jerzmanowo_(województwo_kujawsko-pomorskie)
Jesenik;50.2296385,17.2046012;https://cs.wikipedia.org/wiki/Jeseník
Jeziernik;54.205556, 18.978889;https://pl.wikipedia.org/wiki/Jeziernik_(stacja_kolejowa)
Jełowa;50.7998026,18.0728772;https://pl.wikipedia.org/wiki/Jełowa
Jeżkowice;54.3275, 17.593889;https://pl.wikipedia.org/wiki/Jerzkowice_(stacja_kolejowa)
Jindřichov ve Slezsku;50.2485783,17.5385423;
Jindřichovice pod Smrkem;50.9608145,15.2495327;https://cs.wikipedia.org/wiki/Jindřichovice_pod_Smrkem
Joniškis;56.2412052,23.6151344;https://lt.wikipedia.org/wiki/Joniškis
Josefuv Dul;50.7795033,15.2402530;https://cs.wikipedia.org/wiki/Josefův_Důl_(nádraží)
Judyty;54.318333, 20.883056;https://pl.wikipedia.org/wiki/Judyty_Domarady
Jugowice;50.7310111,16.4027816;https://pl.wikipedia.org/wiki/Jugowice
Jędrzejów;50.644167, 20.275278;https://pl.wikipedia.org/wiki/Jędrzejów_(stacja_kolejowa)
Jędrzejów Wąskotorowy; 50.644167, 20.287222;https://pl.wikipedia.org/wiki/Jędrzejów_Wąskotorowy
Jędrzychowice;51.180556, 15.023333;https://pl.wikipedia.org/wiki/Jędrzychowice_(stacja_kolejowa)
Kaišiadorys;54.8602337,24.4544785;https://lt.wikipedia.org/wiki/Kaišiadorys
Kalety;50.5686645,18.9361450;https://pl.wikipedia.org/wiki/Kalety
Kalisz;51.742778, 18.071667;https://pl.wikipedia.org/wiki/Kalisz_(stacja_kolejowa)
Kalisz Pomorski;53.2981616,15.9059903;https://pl.wikipedia.org/wiki/Kalisz_Pomorski
Kalwaria Zebrzydowska;49.874167, 19.674722;https://pl.wikipedia.org/wiki/Kalwaria_Zebrzydowska_(przystanek_kolejowy)
Kalwaria Zebrzydowska Lanckorona;49.8712554,19.6884577;
Kamienica Wołyńska;50.351194, 25.7;https://pl.wikipedia.org/wiki/Kamienica_Wołyńska
Kamieniec Ząbkowicki;50.5229139,16.8736143;https://pl.wikipedia.org/wiki/Kamieniec_Ząbkowicki
Kamienna Góra;50.7837361,16.0336631;https://pl.wikipedia.org/wiki/Kamienna_Góra
Kamienna Nowa;53.688611, 23.264722;https://pl.wikipedia.org/wiki/Kamienna_Nowa_(przystanek_kolejowy)
Kamień Koszyrski;51.6271153,24.9613570;https://uk.wikipedia.org/wiki/Камінь-Каширський
Kamień Koszyrski Wąski;51.605722, 24.960778;https://www.atlaskolejowy.net/ua/wolynski/?id=baza&poz=29742
Kamień Poleski;52.201306, 24.522722;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30002
Kamień Pomorski;53.9653947,14.7728556;https://pl.wikipedia.org/wiki/Kamień_Pomorski
Kania Wąskotorowa;53.504722, 15.246944;https://pl.wikipedia.org/wiki/Kania_Wąskotorowa
Kapušany;49.0438686,21.3205402;
Karczew;52.078611, 21.256389;https://pl.wikipedia.org/wiki/Karczew_(stacja_kolejowa)
Karczmiska;51.215833, 21.997500;https://pl.wikipedia.org/wiki/Karczmiska_(stacja_kolejowa)
Kargowa;52.0719225,15.8648044;https://pl.wikipedia.org/wiki/Kargowa
Karlino Wąskotorowe;54.045833, 15.884722;https://pl.wikipedia.org/wiki/Karlino_Wąskotorowe
Karlino;54.045833, 15.884722;https://pl.wikipedia.org/wiki/Karlino_(stacja_kolejowa)
Karpacz;50.7747485,15.7542035;https://pl.wikipedia.org/wiki/Karpacz
Karszno;53.7043959,14.3136373;https://pl.wikipedia.org/wiki/Karszno
Kartuzy;54.3342281,18.1973639;https://pl.wikipedia.org/wiki/Kartuzy
Karwina;49.8542719,18.5416556;https://cs.wikipedia.org/wiki/Karviná
Karzec;51.754722, 16.905833;https://pl.wikipedia.org/wiki/Karzec_(przystanek_kolejowy)
Kasprowo;53.212778, 17.761667;https://pl.wikipedia.org/wiki/Kasprowo_(stacja_kolejowa)
Katowice;50.2137315,19.0058848;https://pl.wikipedia.org/wiki/Katowice
Katowice Bogucice Wąskotorowe;50.263444, 19.059917;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=7521
Katowice Janów;50.237222, 19.079167;https://pl.wikipedia.org/wiki/Katowice_Janów
Katowice Ligota;50.2260023,18.9778134;https://pl.wikipedia.org/wiki/Katowice_Ligota
Katowice Murcki;50.202222, 19.023056;https://pl.wikipedia.org/wiki/Katowice_Murcki
Katowice Szopienice Północne;50.264167, 19.091389;https://pl.wikipedia.org/wiki/Katowice_Szopienice_Północne
Katowice Szopienice Wąskotorowe;50.263444, 19.059917;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=7521
Kaunas;54.8982139,23.9044817;https://lt.wikipedia.org/wiki/Kaunas
Kazimierz;50.288333, 19.231667;https://pl.wikipedia.org/wiki/Sosnowiec_Kazimierz
Kazimierza Wielka;50.275000, 20.483056;https://pl.wikipedia.org/wiki/Kazimierza_Wielka_(stacja_kolejowa)
Kazlu Ruda;54.7520669,23.4985141;https://lt.wikipedia.org/wiki/Kazlų_Rūda
Kałków Łąka;50.398056, 17.2025;https://pl.wikipedia.org/wiki/Kałków_Łąka
Kańczuga;49.9843732,22.4131838;https://pl.wikipedia.org/wiki/Kańczuga
Kcynia;52.9917668,17.4873729;https://pl.wikipedia.org/wiki/Kcynia
Kežmarok;49.1362088,20.4308701;https://sk.wikipedia.org/wiki/Kežmarok
Kielce;50.8540285,20.6099157;https://pl.wikipedia.org/wiki/Kielce
Kietrz;50.0594787,17.9049429;
Kiev;50.4500336,30.5241361;https://uk.wikipedia.org/wiki/Київ
Kisielice;53.6076054,19.2593923;https://pl.wikipedia.org/wiki/Kisielice
Kiwierce;50.831667, 25.472778;https://pl.wikipedia.org/wiki/Kiwerce_(stacja_kolejowa)
Kluczbork;50.9730701,18.2140089;https://pl.wikipedia.org/wiki/Kluczbork
Knurów;50.2071818,18.6637073;https://pl.wikipedia.org/wiki/Knurów
Kobbelbude;54.578889, 20.355833;https://pl.wikipedia.org/wiki/Swietłoje_(przystanek_kolejowy)
Kobierzyce;50.9720586,16.9298119;https://pl.wikipedia.org/wiki/Kobierzyce
Kobryń; 52.223667, 24.345694;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30003
Kobylin;51.7200566,17.2238694;https://pl.wikipedia.org/wiki/Kobylin_(stacja_kolejowa)
Kobylnik;54.931611, 26.669778;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30267
Kocmyrzów;50.1316347,20.1293350;https://pl.wikipedia.org/wiki/Kocmyrzów
Kokoszki;54.3547660,18.4911709;https://pl.wikipedia.org/wiki/Kokoszki_(Gdańsk)
Kolno;53.4109383,21.9312439;https://pl.wikipedia.org/wiki/Kolno
Kolsko;51.9607173,15.9619760;https://pl.wikipedia.org/wiki/Kolsko
Koluszki;51.7444956,19.8179660;https://pl.wikipedia.org/wiki/Koluszki
Kołomąć;53.870556, 15.117778;https://pl.wikipedia.org/wiki/Kołomąć_(przystanek_kolejowy)
Komańcza;49.3361410,22.0697551;https://pl.wikipedia.org/wiki/Komańcza
Komnino;54.6091763,17.1224416;https://pl.wikipedia.org/wiki/Komnino
Komorowo Wąskotorowe;53.304722, 17.945556;https://pl.wikipedia.org/wiki/Koronowo_Wąskotorowe
Komorowo Wielkopolskie;52.449222, 16.112472;https://www.atlaskolejowy.net/pl/wielkopolskie/?id=baza&poz=8308
